,name,appearance:en,appearance:nl,appearance:de,appearance:fr,appearance:es,appearance:eo,appearance:ru
0,Phalacrocorax carbor,,,,,,,
1,Luscinia svecica,,,,,,,
2,Circus cyaneus,"Harrier species:<div>Compared to other accipitrine species with long wings and tail.</div><div><i>Western marsh harrier/bruine kiekendief</i>: male with a lot of light on chest and wings, female darker but very variable, shoulders and back often contrast with wings and tail (shoulders/back darker for male, lighter for female);</div><div><i>hen harrier/blauwe kiekendief</i>: male gray, slightly lighter on underside, darker at tail and tip of wings, female brown on top, white at base of tail, chest beige with brown lines.</div>",,,,,,
3,Ardea cinerea,"In flight, hard to distinguish from purple heron/purperreiger (if colors cannot be distinguished), but has shorter toes that are more bunched together, a shorter, wider beak, and its throat does not sag as much.",,,,,,
4,Hirundo rustica,"Swallow/martin species:<div><i>barn swallow/boerenzwaluw</i>:&nbsp;reddish brown face, black head and back, cream-colored underside, fewest trills in chirp-like song and calls;</div><div><i>common house martin/huiszwaluw</i>: shoulders and top of head a metallic dark blue color, wings and tail brown, rest white, song and calls are like chirps with a lot of trill;</div><div><i>sand martin/oeverzwaluw</i>:&nbsp;somewhat similar to common house martin/huiszwaluw but with&nbsp;brown on chest and where the other is metallic dark blue, sand martin/overzwaluw just has more brown, song and calls are least sonorous/chirpy, almost only trill-like sounds.</div>",,,,,,
5,Corvus cornix,"Corvine species:<div><i>Carrion crow/zwarte kraai</i>:&nbsp;fairly large, black;</div><div><i>Hooded crow/bonte kraai</i>:&nbsp;black and white;</div><div><i>Western jackdaw/kauw</i>:&nbsp;smaller, darker black on forehead and light grey in neck;</div><div><i>Rook/roek</i>:&nbsp;similar to carrion crow but with pointy head and bald white spot at base of beak;</div><div><i>Common&nbsp;raven/raaf</i>:&nbsp;larger than carrion crow with heavier, furred beak.</div>",,,,,,
6,Sitta europaea,,,,,,,
7,Certhia brachydactyla,,,,,,,
8,Falco subbuteo,"<div>Falcon species:<br></div><div><div><i>peregrine falcon/slechtvalk</i>: largest of three, white underside of body banded with black (except around throat); gray top of body, black top of head, black extension below eye wider than for Eurasian hobby/boomvalk;</div><div><i>common kestrel/torenvalk</i>: back orange-red with black spots, ends of wings black, tail gray (male) or gray moving to orange at the back banded with black (female), black tip of tail for both genders, top of head blue-gray (male) or orange-gray (female);</div><div><i>Eurasian hobby/boomvalk</i>: smallest of three, back dark bluish gray color, rusty red feathers around and behind feet (beige for juveniles).</div></div>",,,,,,
9,Strix aluco,,,,,,,
10,Branta leucopsis,,,,,,,
11,Circus aeruginosus,"Harrier species:<div>Compared to other accipitrine species with long wings and tail.</div><div><i>Western marsh harrier/bruine kiekendief</i>: male with a lot of light on chest and wings, female darker but very variable, shoulders and back often contrast with wings and tail (shoulders/back darker for male, lighter for female);</div><div><i>hen harrier/blauwe kiekendief</i>: male gray, slightly lighter on underside, darker at tail and tip of wings, female brown on top, white at base of tail, chest beige with brown lines.</div>",,,,,,
12,Buteo buteo,"Accipitrine species:<div><i>common buzzard/buizerd</i>: variable colors, ranges from very dark to very light, broad wings, off-white tail with dense gray bands, slightly U-shaped light band on chest;</div><div><i>European honey buzzard/wespendief</i>: at distance similar to common buzzard/buizerd, but slightly bigger and longer wings, thin neck, head forward in flight, variable colors, no light band on chest;</div><div><i>white-tailed eagle/zeearend</i>: very large, with long, wide wings, short wedge-shaped tail with white at the end, brown with a lighter, yellow-brown head and throat, yellow beak;<br></div><div><i>northern goshawk/havik</i>: female: significantly larger, slate-colored back; male: smaller, blue-gray back; both: white underside with fine gray bands, white brow line across dark top of head and ear region;<br></div><div><i>Eurasian sparrowhawk/sperwer</i>: much smaller than northern goshawk/havik; female: larger, not as large as male northern goshawk/havik, yet similar, but with narrow base of tail, more rectangular end of tail, bigger head, shorter neck, slimmer body; female also slate-colored back, brown-gray bands on white underside; male: slate-colored back sometimes a bit bluish, rust-colored cheeks, rust-colored bands on light underside.</div>",,,,,,
13,Tachybaptus ruficollis,,,,,,,
14,Pica pica,,,,,,,
15,Phasianus colchicus,,,,,,,
16,Podiceps cristatus,,,,,,,
17,Garrulus glandarius,,,,,,,
18,Podiceps nigricollis,,,,,,,
19,Anser anser,,,,,,,
20,Picus viridis,"Male with red spot on cheek, female without.",,,,,,
21,Dendrocopos major,"Spotted woodpeckers:<div><i>Great spotted woodpecker/grote bonte specht</i>: red lower belly (especially male), male red breast with black spots, male red back of head, female black, top of head always black (except juvenile);</div><div><i>Middle spotted woodpecker/middelste bonte specht</i>: red top of head&nbsp;(further back into the neck for male), black stripes on belly, pale red lower belly;</div><div><i>Lesser spotted woodpecker/kleine bonte specht</i>:&nbsp;black stripes on belly,&nbsp;no red on lower belly; male top of head red, female black, white parts on shoulder/wing banded with black, unlike other two species.</div>",,,,,,
22,Branta canadensis,,,,,,,
23,Turdus viscivorus,"<i>Turdus</i>&nbsp;species:<div><i>common blackbird/merel</i>: dark in color (black for male, dark brown for female) with bright beak (yellow, especially for male). Song highly varied, clear tones, often ends shrill and high;</div><div><i>song thrush/zanglijster</i>: fairly small, brighter, dark carets on creamy white chest. Song highly varied, recognizable by its repetitions of the same notes a few times;</div><div><i>mistle thrush/grote lijster</i>: as&nbsp;<i>song thrush/zanglijster</i>&nbsp;but noticeably bigger, with a longer tail, white spot on the underside of the wing and generally paler in color. If size is hard to determine, the rounded shape of the spots on its underside are most noticeable, compared to V-shaped spots for&nbsp;<i>song thrush/zanglijster</i>.&nbsp;Also tends to stand in a more upright position.&nbsp;Song a bit like&nbsp;<i>common blackbird/merel</i>, but slightly louder and faster, with a smaller tonal range, usually without the final high notes, and overall a bit more melancholy in tone.</div>",,,,,,
24,Larus marinus,"Larine species:<div><i>common gull/stormmeeuw</i>: much smaller than European herring gull/zilvermeeuw and has a smaller, thinner beak, rounder head, faster movements, lighter flight with longer beats of narrower wings;</div><div><i>European herring gull/zilvermeeuw</i>: see differences listed under common gull/stormmeeuw, also back color a lighter gray, and has an orange-red spot on bottom of beak in summer;</div><div><i>lesser black-backed gull/kleine mantelmeeuw</i>: smaller than great black-backed gull/grote mantelmeeuw, back a gray color of moderate darkness, red spot on bottom of beak in summer, adult has yellow legs rather thank pink of European herring gull/zilvermeeuw and great black-backed gull/grote mantelmeeuw;</div><div><i>great black-backed gull/grote mantelmeeuw</i>: largest gull species, back a dark gray or black color, red spot on bottom of beak in summer;</div><div><i>black-headed gull/kokmeeuw</i>: dark brown or black head in summer, concave toward neck, just a dot behind the eye in winter, recognizable in flight due to white band at front of wings;</div><div><i>Mediterranean gull/zwartkopmeeuw</i>: slightly bigger than similar black-headed gull/kokmeeuw, black head in summer sometimes convex toward neck (reaching further to back of neck), wings fully white (some black for young birds).</div><div><br></div><div>Calls:</div><div><i>common gull/stormmeeuw</i>: laughter, series of single syllables ending in a longer word of two syllables starting higher but falling in tone;</div><div><i>European herring gull/zilvermeeuw</i>: harsh sounds, series of double syllables, often with rising tones;</div><div><i>lesser black-backed gull/kleine mantelmeeuw</i>: lower and more nasal than European herring gull/zilvermeeuw, often single syllables or falling tones;</div><div><i>great black-backed gull/grote mantelmeeuw</i>: lower still than even lesser black-backed gull/kleine mantelmeeuw, hoarse or grumpy sound, falling tones;</div><div><i>black-headed gull/kokmeeuw</i>: loud, harsh sounds, falling tones, quite varied;</div><div><i>Mediterranean gull/zwartkopmeeuw</i>: nasal, second part of cry falling in tone.</div>",,,,,,
25,Ardea alba,,,,,,,
26,Limosa limosa,"Sandpiper species:<div><i>green sandpiper/witgat</i>: smallest sandpiper (in this set), brown back, white belly;</div><div><i>black-tailed godwit/grutto</i>: noticeably orange chest in summer, orange-pink base of beak, beak long and straight, sometimes slightly raised toward end, dark legs;</div><div><i>common redshank/tureluur</i>: second smallest (in this set), red legs and base of beak;<br></div><div><i>Eurasian curlew/wulp</i>: biggest (in this set), pattern of dark brown, light brown, and white, with more white at the hind underside, long beak curving downward (Dutch mnemonic: de wulp wijst met zijn snavel naar zijn gulp);<br></div><div><i>whimbrel/regenwulp</i>: smaller than Eurasian curlew/wulp, shorter beak, dark line between eye and beak (sometimes vaguely present in Eurasian curlew/wulp).</div>",,,,,,
